"name","full_name","html_url","description","language","stargazers_count","forks_count","open_issues_count","created_at","updated_at","pushed_at","archived","default_branch"
"hardcaml_xilinx_components","janestreet/hardcaml_xilinx_components","https://github.com/janestreet/hardcaml_xilinx_components","Hardcaml Xilinx component definitions","OCaml","7","1","0","2020/08/18 11:56:51","2026/01/15 14:05:12","2026/01/15 21:36:09","False","master"
"hardcaml_fixed_point","janestreet/hardcaml_fixed_point","https://github.com/janestreet/hardcaml_fixed_point","Hardcaml fixed point arithmetic","OCaml","12","2","0","2020/08/18 11:56:58","2026/01/14 01:07:21","2026/01/15 21:35:48","False","master"
"username_kernel","janestreet/username_kernel","https://github.com/janestreet/username_kernel","An identifier for a user","OCaml","5","1","0","2020/08/31 08:15:40","2026/01/14 01:07:36","2026/01/15 21:41:57","False","master"
"hex_encode","janestreet/hex_encode","https://github.com/janestreet/hex_encode","Hexadecimal encoding library","OCaml","8","1","0","2020/09/15 15:40:36","2026/01/14 01:07:22","2026/01/15 21:36:15","False","master"
"memtrace_viewer","janestreet/memtrace_viewer","https://github.com/janestreet/memtrace_viewer","Interactive memory profiler based on Memtrace","OCaml","33","8","3","2020/09/15 15:40:41","2026/01/14 01:07:25","2026/01/15 21:37:08","False","master"
"async_rpc_websocket","janestreet/async_rpc_websocket","https://github.com/janestreet/async_rpc_websocket","Library to serve and dispatch Async RPCs over websockets","OCaml","7","1","1","2020/09/15 15:40:45","2026/01/14 01:07:16","2026/01/15 21:33:36","False","master"
"cohttp_async_websocket","janestreet/cohttp_async_websocket","https://github.com/janestreet/cohttp_async_websocket","Websocket library for use with cohttp and async","OCaml","10","7","0","2020/09/15 15:40:49","2026/01/14 01:07:18","2026/01/15 21:34:41","False","master"
"ocaml-embed-file","janestreet/ocaml-embed-file","https://github.com/janestreet/ocaml-embed-file","Files contents as module constants","OCaml","5","2","0","2020/09/15 15:40:54","2026/01/14 01:07:25","2026/01/15 21:37:20","False","master"
"env_config","janestreet/env_config","https://github.com/janestreet/env_config","Helper library for retrieving configuration from an environment variable","OCaml","6","1","0","2020/09/15 15:40:58","2026/01/14 01:07:20","2026/01/15 21:35:14","False","master"
"krb","janestreet/krb","https://github.com/janestreet/krb","(Archived) A library for using Kerberos for both Rpc and Tcp communication","OCaml","9","2","0","2020/09/15 15:41:08","2024/11/05 00:31:55","2023/09/28 10:25:13","True","master"
"memtrace_viewer_with_deps","janestreet/memtrace_viewer_with_deps","https://github.com/janestreet/memtrace_viewer_with_deps","Interactive memory profiler based on Memtrace","OCaml","7","5","0","2020/09/15 15:49:54","2024/11/05 00:31:55","2021/01/08 10:29:55","False","master"
"cohttp_static_handler","janestreet/cohttp_static_handler","https://github.com/janestreet/cohttp_static_handler","A library for easily creating a cohttp handler for static files","OCaml","7","1","0","2020/11/06 11:58:43","2026/01/14 01:07:19","2026/01/15 21:34:43","False","master"
"sexp_diff","janestreet/sexp_diff","https://github.com/janestreet/sexp_diff","Code for computing the diff of two sexps","OCaml","6","1","0","2020/11/06 11:59:03","2026/01/14 01:10:33","2026/01/15 21:40:49","False","master"
"bigdecimal","janestreet/bigdecimal","https://github.com/janestreet/bigdecimal","Arbitrary-precision decimal based on Zarith","OCaml","19","4","0","2020/11/20 12:28:47","2026/01/14 01:07:17","2026/01/15 21:34:03","False","master"
"abstract_algebra","janestreet/abstract_algebra","https://github.com/janestreet/abstract_algebra","A small library describing abstract algebra concepts.","OCaml","8","1","0","2020/11/20 12:29:03","2026/01/14 01:07:16","2026/01/15 21:32:19","False","master"
"reversed_list","janestreet/reversed_list","https://github.com/janestreet/reversed_list","Explicitly build a list in reverse order","OCaml","1","1","0","2020/11/20 12:29:12","2021/12/17 03:01:16","2021/01/14 12:07:09","False","master"
"sandmark","janestreet/sandmark","https://github.com/janestreet/sandmark","A benchmark suite for the OCaml compiler",,"1","2","0","2021/02/08 11:05:47","2021/12/17 03:01:07","2021/02/22 13:51:45","False","master"
"re2_serializable","janestreet/re2_serializable","https://github.com/janestreet/re2_serializable",,"OCaml","1","1","0","2021/03/05 20:10:46","2021/12/17 03:01:05","2021/03/05 20:20:06","False","master"
"hg_lib","janestreet/hg_lib","https://github.com/janestreet/hg_lib","A library that wraps the Mercurial command line interface.","OCaml","6","1","0","2021/03/19 19:48:41","2026/01/14 01:07:23","2026/01/15 21:36:17","False","master"
"redis-async","janestreet/redis-async","https://github.com/janestreet/redis-async","Redis client for Async applications","OCaml","19","5","0","2021/03/19 19:48:43","2026/01/14 01:07:33","2026/01/15 21:40:35","False","master"
"file_path","janestreet/file_path","https://github.com/janestreet/file_path","A library for typed manipulation of UNIX-style file paths.","OCaml","13","1","0","2021/03/19 19:48:45","2026/01/14 01:07:20","2026/01/15 21:35:25","False","master"
"int_repr","janestreet/int_repr","https://github.com/janestreet/int_repr","Integers of various widths","OCaml","7","2","0","2021/05/28 18:57:38","2026/01/14 01:07:24","2026/01/15 21:36:39","False","master"
"jsonaf","janestreet/jsonaf","https://github.com/janestreet/jsonaf","A library for parsing, manipulating, and serializing data structured as JSON.","OCaml","20","4","1","2021/05/28 18:57:39","2026/02/19 09:35:25","2026/01/15 21:36:53","False","master"
"ocaml_intrinsics","janestreet/ocaml_intrinsics","https://github.com/janestreet/ocaml_intrinsics","Provides functions to invoke amd64 instructions (such as clz,popcnt,rdtsc,rdpmc) when available, or compatible software implementation on other targets.","OCaml","38","14","1","2021/06/18 19:04:50","2026/01/20 08:06:14","2026/01/15 21:37:22","False","master"
"cinaps","janestreet/cinaps","https://github.com/janestreet/cinaps","Trivial Metaprogramming tool using the OCaml toplevel",,"4","0","0","2021/07/26 17:56:44","2025/07/06 16:09:14","2021/08/02 17:10:13","False","master"
"ppx_ignore_instrumentation","janestreet/ppx_ignore_instrumentation","https://github.com/janestreet/ppx_ignore_instrumentation","Ignore Jane Street specific instrumentation extensions.","OCaml","6","1","0","2021/07/30 16:26:50","2026/01/14 01:07:29","2026/01/15 21:39:17","False","master"
"sexp_grammar","janestreet/sexp_grammar","https://github.com/janestreet/sexp_grammar","Helpers for manipulating [Sexplib.Sexp_grammar] values.","OCaml","7","1","0","2021/07/30 16:26:51","2026/01/14 01:07:33","2026/01/15 21:40:51","False","master"
"ppx_typed_fields","janestreet/ppx_typed_fields","https://github.com/janestreet/ppx_typed_fields","GADT-based field accessors and utilities","OCaml","17","1","0","2021/08/13 19:10:24","2026/01/14 01:07:31","2026/01/15 21:40:08","False","master"
"ppx_css","janestreet/ppx_css","https://github.com/janestreet/ppx_css","A ppx that takes in css strings and produces a module for accessing the unique names defined within.","OCaml","16","7","0","2021/10/25 18:03:53","2026/01/14 01:07:27","2026/01/15 21:38:35","False","master"
"ppx_type_directed_value","janestreet/ppx_type_directed_value","https://github.com/janestreet/ppx_type_directed_value","Get [@@deriving]-style generation of type-directed values without writing a ppx","OCaml","17","2","0","2021/10/25 18:03:55","2026/01/29 10:12:49","2022/02/15 14:19:24","False","master"
"core_compat","janestreet/core_compat","https://github.com/janestreet/core_compat","Compatibility for core 0.14","OCaml","4","1","0","2021/11/24 17:24:29","2023/01/28 00:34:03","2022/02/15 14:19:24","True","master"
"fuzzy_match","janestreet/fuzzy_match","https://github.com/janestreet/fuzzy_match","A library for fuzzy string matching","OCaml","7","1","0","2021/11/24 17:24:30","2026/01/14 01:07:23","2026/01/15 21:35:34","False","master"
"core_unix","janestreet/core_unix","https://github.com/janestreet/core_unix","Unix-specific portions of Core","OCaml","18","23","7","2021/11/26 17:02:12","2026/01/14 01:07:20","2026/01/15 21:35:00","False","master"
"profunctor","janestreet/profunctor","https://github.com/janestreet/profunctor","A library providing a signature for simple profunctors and traversal of a record","OCaml","3","0","0","2021/12/21 13:05:11","2026/01/14 01:07:32","2026/01/15 21:40:28","False","master"
